שם קובץ,ID,נתיב,סוג (MIME),גודל (MB),תאריך יצירה,תאריך עדכון אחרון,בעלים,קישור
001 רב כהנא והמוסר.mp3,1yC_jvQPQpvos3-FdBpm3cbCvS2TU8ZwL,סט ילדים/001 - 081  סיפורי חז''ל,audio/mpeg,41.121,6/17/2026 9:41:59,1/1/2016 1:38:00,yadtamar613@gmail.com,https://drive.google.com/file/d/1yC_jvQPQpvos3-FdBpm3cbCvS2TU8ZwL/view?usp=drivesdk
002 רב ששת העיוור הרואה.mp3,1sM5aBoAiUtA_3HSsM6qkoj4BHWZYqusz,סט ילדים/001 - 081  סיפורי חז''ל,audio/mpeg,37.476,6/17/2026 9:42:04,8/20/2020 23:03:00,yadtamar613@gmail.com,https://drive.google.com/file/d/1sM5aBoAiUtA_3HSsM6qkoj4BHWZYqusz/view?usp=drivesdk
003 רבי יהושע וחכמי אתונה.mp3,1ZL4e7HXm_QQoPpHM_qB-Nm0w4NMXWTMd,סט ילדים/001 - 081  סיפורי חז''ל,audio/mpeg,37.022,6/17/2026 9:42:09,8/20/2020 23:03:04,yadtamar613@gmail.com,https://drive.google.com/file/d/1ZL4e7HXm_QQoPpHM_qB-Nm0w4NMXWTMd/view?usp=drivesdk
004 ר' יהודה ועבד החשמונאים.mp3,19AYootfFqbFVVZFW7piEM6IT73Dn5cHE,סט ילדים/001 - 081  סיפורי חז''ל,audio/mpeg,40.068,6/17/2026 9:42:14,8/20/2020 23:03:06,yadtamar613@gmail.com,https://drive.google.com/file/d/19AYootfFqbFVVZFW7piEM6IT73Dn5cHE/view?usp=drivesdk
005 ר' יוסי ותחיית המתים - תפילה.mp3,1jNq4yxceCD1booisH7qZ2I4lpt-3b6UN,סט ילדים/001 - 081  סיפורי חז''ל,audio/mpeg,34.847,6/17/2026 9:42:24,8/20/2020 23:03:10,yadtamar613@gmail.com,https://drive.google.com/file/d/1jNq4yxceCD1booisH7qZ2I4lpt-3b6UN/view?usp=drivesdk
006 שלמה המלך אשמדאי והשמיר.mp3,1DWsCEVVUSiD-YpNq3kGLp19BaGdo7L1c,סט ילדים/001 - 081  סיפורי חז''ל,audio/mpeg,37.576,6/17/2026 9:42:29,8/20/2020 23:03:12,yadtamar613@gmail.com,https://drive.google.com/file/d/1DWsCEVVUSiD-YpNq3kGLp19BaGdo7L1c/view?usp=drivesdk
007 דוד המלך ומעשי השם.mp3,1aWHC3saZaZTHZ3CTYjGpGfp8dszuSePc,סט ילדים/001 - 081  סיפורי חז''ל,audio/mpeg,40.238,6/17/2026 9:42:34,8/20/2020 23:03:16,yadtamar613@gmail.com,https://drive.google.com/file/d/1aWHC3saZaZTHZ3CTYjGpGfp8dszuSePc/view?usp=drivesdk
008 דוד וישבי אחיו של גולית.mp3,11y6ZojIJxA6pmEb_IVOsKBf9U3d7SEnK,סט ילדים/001 - 081  סיפורי חז''ל,audio/mpeg,34.241,6/17/2026 9:42:39,8/20/2020 23:03:18,yadtamar613@gmail.com,https://drive.google.com/file/d/11y6ZojIJxA6pmEb_IVOsKBf9U3d7SEnK/view?usp=drivesdk
009 דרך ארץ כבוד הבריות.mp3,1kamvEt25SIXbh1_qqLOBxkqhzlReNyKj,סט ילדים/001 - 081  סיפורי חז''ל,audio/mpeg,41.743,6/17/2026 9:42:44,8/20/2020 23:03:22,yadtamar613@gmail.com,https://drive.google.com/file/d/1kamvEt25SIXbh1_qqLOBxkqhzlReNyKj/view?usp=drivesdk
010 כוחה של צדקה.mp3,1r1RC61gnjZkwIqPBSZ_vx0q2PQL2WXq0,סט ילדים/001 - 081  סיפורי חז''ל,audio/mpeg,41.906,6/17/2026 9:42:50,8/20/2020 23:03:24,yadtamar613@gmail.com,https://drive.google.com/file/d/1r1RC61gnjZkwIqPBSZ_vx0q2PQL2WXq0/view?usp=drivesdk
011 רבי פנחס בן יאיר חמורו והעכברים.mp3,19RoGpktpMwW8dBjEVYSZ-qNl-nZVBd9j,סט ילדים/001 - 081  סיפורי חז''ל,audio/mpeg,40.801,6/17/2026 9:42:55,8/20/2020 23:03:28,yadtamar613@gmail.com,https://drive.google.com/file/d/19RoGpktpMwW8dBjEVYSZ-qNl-nZVBd9j/view?usp=drivesdk
012 רבי פנחס בן יאיר והבריאה.mp3,1tIHmn6IST9LRDl_Bs2exGouZkQU7IXnT,סט ילדים/001 - 081  סיפורי חז''ל,audio/mpeg,41.079,6/17/2026 9:43:01,8/20/2020 23:03:30,yadtamar613@gmail.com,https://drive.google.com/file/d/1tIHmn6IST9LRDl_Bs2exGouZkQU7IXnT/view?usp=drivesdk
013 רבי שמעון בן חלפתא וברית המילה.mp3,1c7cQHK_tWBMyow33mDDGNDNFw1-_tWAD,סט ילדים/001 - 081  סיפורי חז''ל,audio/mpeg,41.274,6/17/2026 9:43:06,8/20/2020 23:03:34,yadtamar613@gmail.com,https://drive.google.com/file/d/1c7cQHK_tWBMyow33mDDGNDNFw1-_tWAD/view?usp=drivesdk
014 רב ספרא ובנו - ענית אמן.mp3,1URpmOrGKl1moqVDdNoZUWgktLd5UOCMQ,סט ילדים/001 - 081  סיפורי חז''ל,audio/mpeg,41.167,6/17/2026 9:43:11,8/20/2020 23:03:38,yadtamar613@gmail.com,https://drive.google.com/file/d/1URpmOrGKl1moqVDdNoZUWgktLd5UOCMQ/view?usp=drivesdk
015 אלכסנדר מוקדון ומלך קציא.mp3,1W0DZAuEDIdIS2bbKFfw6dnhDQKghHwiN,סט ילדים/001 - 081  סיפורי חז''ל,audio/mpeg,37.127,6/17/2026 9:43:16,8/20/2020 23:03:40,yadtamar613@gmail.com,https://drive.google.com/file/d/1W0DZAuEDIdIS2bbKFfw6dnhDQKghHwiN/view?usp=drivesdk
"016 גביהה בן פסיסא , ארץ ישראל ואלכסנדר מוקדון.mp3",1eIzGkWAAOJEwNeYMDGtWaWEZI3R0ZGDQ,סט ילדים/001 - 081  סיפורי חז''ל,audio/mpeg,41.841,6/17/2026 9:43:22,8/20/2020 22:59:40,yadtamar613@gmail.com,https://drive.google.com/file/d/1eIzGkWAAOJEwNeYMDGtWaWEZI3R0ZGDQ/view?usp=drivesdk
017 שמעון הצדיק ובית המקדש.mp3,1JyXMNCmFuTcv_0wJG6eQ5IAmc0BU19XL,סט ילדים/001 - 081  סיפורי חז''ל,audio/mpeg,42.018,6/17/2026 9:43:27,8/20/2020 22:59:40,yadtamar613@gmail.com,https://drive.google.com/file/d/1JyXMNCmFuTcv_0wJG6eQ5IAmc0BU19XL/view?usp=drivesdk
018 ר' אליעזר בן הורקנוס ושקידת התורה.mp3,199sB9EIrRnAeYsVx4ZaPDVDdbaMKiQqH,סט ילדים/001 - 081  סיפורי חז''ל,audio/mpeg,38.515,6/17/2026 9:43:32,8/20/2020 22:59:42,yadtamar613@gmail.com,https://drive.google.com/file/d/199sB9EIrRnAeYsVx4ZaPDVDdbaMKiQqH/view?usp=drivesdk
019 חכמתם של בני ירושלים.mp3,1nX8KZGhxXO5dbH6rQutnVDx17onsmQkr,סט ילדים/001 - 081  סיפורי חז''ל,audio/mpeg,40.89,6/17/2026 9:43:37,8/20/2020 22:59:42,yadtamar613@gmail.com,https://drive.google.com/file/d/1nX8KZGhxXO5dbH6rQutnVDx17onsmQkr/view?usp=drivesdk
020 ר' שמעון בר יוחאי ובנו - לג בעומר.mp3,14QkqJZLAmHN_3aB8f633ra1ddJ7kBavF,סט ילדים/001 - 081  סיפורי חז''ל,audio/mpeg,38.753,6/17/2026 9:43:42,8/20/2020 22:59:44,yadtamar613@gmail.com,https://drive.google.com/file/d/14QkqJZLAmHN_3aB8f633ra1ddJ7kBavF/view?usp=drivesdk
021 יונה הנביא.mp3,1HgFrksBVM-U5outsAw2YSAQWWS7mFMI9,סט ילדים/001 - 081  סיפורי חז''ל,audio/mpeg,41.126,6/17/2026 9:43:48,8/20/2020 22:59:44,yadtamar613@gmail.com,https://drive.google.com/file/d/1HgFrksBVM-U5outsAw2YSAQWWS7mFMI9/view?usp=drivesdk
022 כבדהו וחשדהו היחס לזרים.mp3,1aOyE1tBCnGxkzEExuG8m3OrbCbRf1gEc,סט ילדים/001 - 081  סיפורי חז''ל,audio/mpeg,40.389,6/17/2026 9:43:53,8/20/2020 22:59:46,yadtamar613@gmail.com,https://drive.google.com/file/d/1aOyE1tBCnGxkzEExuG8m3OrbCbRf1gEc/view?usp=drivesdk
023 זריזות והתמדה.mp3,1pEpt19HNdkTbs0vlN7HVkeysowNR8iw7,סט ילדים/001 - 081  סיפורי חז''ל,audio/mpeg,39.395,6/17/2026 9:43:58,8/20/2020 22:59:46,yadtamar613@gmail.com,https://drive.google.com/file/d/1pEpt19HNdkTbs0vlN7HVkeysowNR8iw7/view?usp=drivesdk
